crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	44.580307	1558	0.000000
281474976710655.000000	40.218178	1559	0.000000
281474976710655.000000	38.733627	1560	0.000000
281474976710655.000000	42.934235	1561	0.000000
281474976710655.000000	45.691189	1562	0.000000
281474976710655.000000	46.998085	1563	0.000000
281474976710655.000000	33.528442	1564	0.000000
281474976710655.000000	33.641186	1565	0.000000
281474976710655.000000	36.395058	1566	0.000000
281474976710655.000000	33.575527	1567	0.000000
281474976710655.000000	41.078655	1568	0.000000
281474976710655.000000	41.156059	1569	0.000000
281474976710655.000000	35.952030	1570	0.000000
281474976710655.000000	40.968243	1571	0.000000
281474976710655.000000	38.141071	1572	0.000000
281474976710655.000000	44.436588	1573	0.000000
281474976710655.000000	44.163116	1574	0.000000
281474976710655.000000	31.437557	1575	0.000000
281474976710655.000000	40.711758	1576	0.000000
281474976710655.000000	50.162426	1577	0.000000
281474976710655.000000	40.362663	1578	0.000000
281474976710655.000000	38.883610	1579	0.000000
281474976710655.000000	40.423176	1580	0.000000
281474976710655.000000	38.013805	1581	0.000000
281474976710655.000000	35.708397	1582	0.000000
281474976710655.000000	36.070271	1583	0.000000
281474976710655.000000	40.965725	1584	0.000000
281474976710655.000000	40.655712	1585	0.000000
281474976710655.000000	36.699654	1586	0.000000
281474976710655.000000	32.288204	1587	0.000000
281474976710655.000000	38.131329	1588	0.000000
281474976710655.000000	43.303806	1589	0.000000
281474976710655.000000	43.329494	1590	0.000000
281474976710655.000000	32.184059	1591	0.000000
281474976710655.000000	36.618465	1592	0.000000
281474976710655.000000	33.775936	1593	0.000000
281474976710655.000000	39.217350	1594	0.000000
281474976710655.000000	38.875042	1595	0.000000
281474976710655.000000	45.452961	1596	0.000000
281474976710655.000000	47.475670	1597	0.000000
281474976710655.000000	47.232460	1598	0.000000
281474976710655.000000	35.191837	1599	0.000000
281474976710655.000000	32.298592	1600	0.000000
281474976710655.000000	39.993004	1601	0.000000
281474976710655.000000	41.387104	1602	0.000000
281474976710655.000000	36.405281	1603	0.000000
281474976710655.000000	42.333748	1604	0.000000
281474976710655.000000	33.552731	1605	0.000000
281474976710655.000000	41.493279	1606	0.000000
281474976710655.000000	37.419872	1607	0.000000
281474976710655.000000	34.559418	1608	0.000000
281474976710655.000000	35.976627	1609	0.000000
281474976710655.000000	35.450344	1610	0.000000
281474976710655.000000	41.353256	1611	0.000000
281474976710655.000000	42.813797	1612	0.000000
281474976710655.000000	41.466534	1613	0.000000
281474976710655.000000	43.786098	1614	0.000000
281474976710655.000000	31.482336	1615	0.000000
281474976710655.000000	39.477127	1616	0.000000
281474976710655.000000	34.004040	1617	0.000000
281474976710655.000000	46.435581	1618	0.000000
281474976710655.000000	37.064434	1619	0.000000
281474976710655.000000	38.855717	1620	0.000000
281474976710655.000000	34.383545	1621	0.000000
281474976710655.000000	37.736622	1622	0.000000
281474976710655.000000	41.344074	1623	0.000000
281474976710655.000000	35.721046	1624	0.000000
281474976710655.000000	34.864307	1625	0.000000
281474976710655.000000	31.096270	1626	0.000000
281474976710655.000000	38.689602	1627	0.000000
281474976710655.000000	38.767822	1628	0.000000
281474976710655.000000	43.518780	1629	0.000000
281474976710655.000000	38.053158	1630	0.000000
281474976710655.000000	35.937504	1631	0.000000
281474976710655.000000	45.621422	1632	0.000000
281474976710655.000000	34.720718	1633	0.000000
281474976710655.000000	38.465679	1634	0.000000
281474976710655.000000	40.519989	1635	0.000000
281474976710655.000000	36.574039	1636	0.000000
281474976710655.000000	37.577755	1637	0.000000
281474976710655.000000	35.638599	1638	0.000000
281474976710655.000000	34.431030	1639	0.000000
281474976710655.000000	45.546112	1640	0.000000
281474976710655.000000	40.039021	1641	0.000000
281474976710655.000000	49.641083	1642	0.000000
281474976710655.000000	34.468235	1643	0.000000
281474976710655.000000	30.336222	1644	0.000000
281474976710655.000000	40.134663	1645	0.000000
281474976710655.000000	33.555023	1646	0.000000
281474976710655.000000	37.438305	1647	0.000000
281474976710655.000000	34.189259	1648	0.000000
281474976710655.000000	29.827057	1649	0.000000
281474976710655.000000	33.858273	1650	0.000000
281474976710655.000000	37.235260	1651	0.000000
281474976710655.000000	40.147480	1652	0.000000
281474976710655.000000	41.869080	1653	0.000000
281474976710655.000000	42.213490	1654	0.000000
281474976710655.000000	39.883392	1655	0.000000
281474976710655.000000	31.740263	1656	0.000000
281474976710655.000000	31.420567	1657	0.000000
281474976710655.000000	41.551842	1658	0.000000
281474976710655.000000	33.551044	1659	0.000000
281474976710655.000000	31.037952	1660	0.000000
281474976710655.000000	35.426506	1661	0.000000
281474976710655.000000	29.368086	1662	0.000000
281474976710655.000000	31.087906	1663	0.000000
281474976710655.000000	41.517635	1664	0.000000
281474976710655.000000	36.028637	1665	0.000000
281474976710655.000000	36.611698	1666	0.000000
281474976710655.000000	34.820797	1667	0.000000
281474976710655.000000	34.579052	1668	0.000000
281474976710655.000000	34.302135	1669	0.000000
281474976710655.000000	36.746605	1670	0.000000
281474976710655.000000	30.850393	1671	0.000000
281474976710655.000000	35.323513	1672	0.000000
281474976710655.000000	29.096470	1673	0.000000
281474976710655.000000	30.227266	1674	0.000000
281474976710655.000000	38.017662	1675	0.000000
281474976710655.000000	31.348969	1676	0.000000
281474976710655.000000	41.074863	1677	0.000000
281474976710655.000000	34.096519	1678	0.000000
281474976710655.000000	32.608376	1679	0.000000
281474976710655.000000	38.061352	1680	0.000000
281474976710655.000000	34.103016	1681	0.000000
281474976710655.000000	32.567192	1682	0.000000
281474976710655.000000	37.855556	1683	0.000000
281474976710655.000000	30.022776	1684	0.000000
281474976710655.000000	30.155304	1685	0.000000
281474976710655.000000	33.996346	1686	0.000000
281474976710655.000000	33.515526	1687	0.000000
281474976710655.000000	35.612461	1688	0.000000
281474976710655.000000	30.033520	1689	0.000000
281474976710655.000000	35.529625	1690	0.000000
281474976710655.000000	33.301983	1691	0.000000
281474976710655.000000	37.736053	1692	0.000000
281474976710655.000000	30.598133	1693	0.000000
281474976710655.000000	42.520432	1694	0.000000
281474976710655.000000	33.961807	1695	0.000000
281474976710655.000000	34.933784	1696	0.000000
281474976710655.000000	33.188915	1697	0.000000
281474976710655.000000	32.027351	1698	0.000000
281474976710655.000000	29.635099	1699	0.000000
281474976710655.000000	31.993608	1700	0.000000
281474976710655.000000	31.689699	1701	0.000000
281474976710655.000000	31.902924	1702	0.000000
281474976710655.000000	34.127678	1703	0.000000
281474976710655.000000	33.903694	1704	0.000000
281474976710655.000000	35.171062	1705	0.000000
281474976710655.000000	28.026936	1706	0.000000
281474976710655.000000	31.492872	1707	0.000000
281474976710655.000000	31.182196	1708	0.000000
281474976710655.000000	36.852917	1709	0.000000
281474976710655.000000	36.701214	1710	0.000000
281474976710655.000000	27.402647	1711	0.000000
281474976710655.000000	31.362795	1712	0.000000
281474976710655.000000	35.993958	1713	0.000000
281474976710655.000000	33.981144	1714	0.000000
281474976710655.000000	32.226212	1715	0.000000
281474976710655.000000	31.611786	1716	0.000000
281474976710655.000000	32.495960	1717	0.000000
281474976710655.000000	36.263592	1718	0.000000
281474976710655.000000	27.309944	1719	0.000000
281474976710655.000000	33.998978	1720	0.000000
281474976710655.000000	31.878576	1721	0.000000
281474976710655.000000	33.122971	1722	0.000000
281474976710655.000000	30.733875	1723	0.000000
281474976710655.000000	27.081554	1724	0.000000
281474976710655.000000	39.689110	1725	0.000000
281474976710655.000000	34.084740	1726	0.000000
281474976710655.000000	31.383297	1727	0.000000
281474976710655.000000	36.064148	1728	0.000000
281474976710655.000000	33.514469	1729	0.000000
281474976710655.000000	29.155882	1730	0.000000
281474976710655.000000	30.085018	1731	0.000000
281474976710655.000000	33.557026	1732	0.000000
281474976710655.000000	31.516769	1733	0.000000
281474976710655.000000	35.281559	1734	0.000000
281474976710655.000000	33.345688	1735	0.000000
281474976710655.000000	31.957205	1736	0.000000
281474976710655.000000	29.913202	1737	0.000000
281474976710655.000000	31.626480	1738	0.000000
281474976710655.000000	32.299267	1739	0.000000
281474976710655.000000	34.880283	1740	0.000000
281474976710655.000000	29.261717	1741	0.000000
281474976710655.000000	31.425373	1742	0.000000
281474976710655.000000	29.958736	1743	0.000000
281474976710655.000000	31.227131	1744	0.000000
281474976710655.000000	32.967567	1745	0.000000
281474976710655.000000	32.262321	1746	0.000000
281474976710655.000000	28.178440	1747	0.000000
281474976710655.000000	32.568745	1748	0.000000
281474976710655.000000	32.761238	1749	0.000000
281474976710655.000000	29.801685	1750	0.000000
281474976710655.000000	28.886967	1751	0.000000
281474976710655.000000	29.520840	1752	0.000000
281474976710655.000000	31.100698	1753	0.000000
281474976710655.000000	35.193481	1754	0.000000
281474976710655.000000	30.426735	1755	0.000000
281474976710655.000000	27.391582	1756	0.000000
281474976710655.000000	32.526291	1757	0.000000
281474976710655.000000	32.141766	1758	0.000000
281474976710655.000000	28.526272	1759	0.000000
281474976710655.000000	32.763119	1760	0.000000
281474976710655.000000	32.843761	1761	0.000000
281474976710655.000000	32.572384	1762	0.000000
281474976710655.000000	30.979347	1763	0.000000
281474976710655.000000	30.801714	1764	0.000000
281474976710655.000000	32.795490	1765	0.000000
281474976710655.000000	31.909634	1766	0.000000
281474976710655.000000	34.718594	1767	0.000000
281474976710655.000000	29.037180	1768	0.000000
281474976710655.000000	28.674788	1769	0.000000
281474976710655.000000	29.117693	1770	0.000000
281474976710655.000000	27.886925	1771	0.000000
281474976710655.000000	31.952749	1772	0.000000
281474976710655.000000	28.820980	1773	0.000000
281474976710655.000000	28.429218	1774	0.000000
281474976710655.000000	29.527763	1775	0.000000
281474976710655.000000	32.002533	1776	0.000000
281474976710655.000000	32.867538	1777	0.000000
281474976710655.000000	31.757462	1778	0.000000
281474976710655.000000	30.654533	1779	0.000000
281474976710655.000000	31.693306	1780	0.000000
281474976710655.000000	29.646589	1781	0.000000
281474976710655.000000	27.900051	1782	0.000000
281474976710655.000000	32.947136	1783	0.000000
281474976710655.000000	29.223888	1784	0.000000
281474976710655.000000	27.506340	1785	0.000000
281474976710655.000000	29.865915	1786	0.000000
281474976710655.000000	33.071609	1787	0.000000
281474976710655.000000	29.964802	1788	0.000000
281474976710655.000000	28.198997	1789	0.000000
281474976710655.000000	31.453598	1790	0.000000
281474976710655.000000	27.322786	1791	0.000000
281474976710655.000000	29.971275	1792	0.000000
281474976710655.000000	28.969698	1793	0.000000
281474976710655.000000	26.588753	1794	0.000000
281474976710655.000000	28.329094	1795	0.000000
281474976710655.000000	29.352484	1796	0.000000
281474976710655.000000	26.458033	1797	0.000000
281474976710655.000000	27.118374	1798	0.000000
281474976710655.000000	27.347506	1799	0.000000
281474976710655.000000	29.392807	1800	0.000000
281474976710655.000000	28.210415	1801	0.000000
281474976710655.000000	29.250826	1802	0.000000
281474976710655.000000	30.620628	1803	0.000000
281474976710655.000000	27.244133	1804	0.000000
281474976710655.000000	29.362656	1805	0.000000
281474976710655.000000	29.010353	1806	0.000000
281474976710655.000000	27.194410	1807	0.000000
281474976710655.000000	30.262011	1808	0.000000
281474976710655.000000	30.443901	1809	0.000000
281474976710655.000000	27.714363	1810	0.000000
281474976710655.000000	26.850359	1811	0.000000
281474976710655.000000	29.413794	1812	0.000000
281474976710655.000000	31.852135	1813	0.000000
281474976710655.000000	29.519909	1814	0.000000
281474976710655.000000	27.526888	1815	0.000000
281474976710655.000000	27.932491	1816	0.000000
281474976710655.000000	29.317451	1817	0.000000
281474976710655.000000	30.335257	1818	0.000000
281474976710655.000000	29.742270	1819	0.000000
281474976710655.000000	28.165777	1820	0.000000
281474976710655.000000	26.867350	1821	0.000000
281474976710655.000000	28.233967	1822	0.000000
281474976710655.000000	26.443796	1823	0.000000
281474976710655.000000	26.272015	1824	0.000000
281474976710655.000000	28.639460	1825	0.000000
281474976710655.000000	29.267076	1826	0.000000
281474976710655.000000	28.354361	1827	0.000000
281474976710655.000000	26.654785	1828	0.000000
281474976710655.000000	27.883987	1829	0.000000
281474976710655.000000	29.469757	1830	0.000000
281474976710655.000000	28.149971	1831	0.000000
281474976710655.000000	29.423185	1832	0.000000
281474976710655.000000	26.143198	1833	0.000000
281474976710655.000000	27.919136	1834	0.000000
281474976710655.000000	29.882595	1835	0.000000
281474976710655.000000	29.655245	1836	0.000000
281474976710655.000000	29.399366	1837	0.000000
281474976710655.000000	23.190401	1838	0.000000
281474976710655.000000	25.810169	1839	0.000000
281474976710655.000000	23.340982	1840	0.000000
281474976710655.000000	27.694021	1841	0.000000
281474976710655.000000	25.527872	1842	0.000000
281474976710655.000000	25.717813	1843	0.000000
281474976710655.000000	27.172707	1844	0.000000
281474976710655.000000	25.652683	1845	0.000000
281474976710655.000000	27.385466	1846	0.000000
281474976710655.000000	26.738804	1847	0.000000
281474976710655.000000	24.730389	1848	0.000000
281474976710655.000000	28.544668	1849	0.000000
281474976710655.000000	27.524836	1850	0.000000
281474976710655.000000	28.691935	1851	0.000000
281474976710655.000000	25.618950	1852	0.000000
281474976710655.000000	27.143147	1853	0.000000
281474976710655.000000	25.344629	1854	0.000000
281474976710655.000000	28.375431	1855	0.000000
281474976710655.000000	29.403278	1856	0.000000
281474976710655.000000	27.197685	1857	0.000000
281474976710655.000000	25.053579	1858	0.000000
281474976710655.000000	26.510069	1859	0.000000
281474976710655.000000	29.991993	1860	0.000000
281474976710655.000000	25.171165	1861	0.000000
281474976710655.000000	28.278879	1862	0.000000
281474976710655.000000	27.603477	1863	0.000000
